RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215 
Victory,VK 30.02 (M),M18 Hellcat,SU-100M1,105 leFH18B2,VK 30.01 (H),Super Hellcat,KV-1,Tiger I,T78,Škoda T 25,G.W. Panther,AMX 13 105 AM mle. 50,M10 RBFM,KV-2,Škoda T 24,Super Hellcat,SU-100,KV-3,S-51,KV-1,SU-122-44,Škoda T 25,105 leFH18B2,Grille,M18 Hellcat,T-34-85M,StuG III Ausf. G,Cavalier,VK 30.01 (P),VK 30.01 (H)
Victory,E 25,King Tiger,Achilles,Heavy Tank No. VI,Strv 74,Super Hellcat,Super Hellcat,Nashorn,Tiger I,"VK 28.01 mit 10,5 cm L/28",AMX 12 t,WZ-131G FT,T-34-85,P.43 bis,Pawlack Tank,T25/2,Pawlack Tank,CS-44,M56 Scorpion,M18 Hellcat,T-50-2,KV-2,Excalibur,AMX 12 t,P.43 bis,Super Hellcat,Tiger I,Tiger 131,T-34-85M,Ikv 65 Alt II
Victory,E 25,50TP prototyp,B.U.G.I.,Progetto CC55 mod. 54,AMX 12 t,T29,Super Hellcat,Pawlack Tank,Cz20_ShPTK_TVP_100_mm,G.W. Panther,M36 Jackson,MT-25,Hotchkiss EBR,Leo,T-34-85,Löwe,Emil I,SU-130PM,M24E2 Super Chaffee,M12,T25/2,Nashorn,M4A3E8 Thunderbolt VII,Hotchkiss EBR,Super Hellcat,T-50-2,P.43 bis,Tiger I,IS,T-34-85M
Victory,E 25,WZ-120-1G FT,Rheinmetall Skorpion G,Škoda T 45,Škoda T 56,VK 36.01 (H),Tiger I,SU-100,Tiger I,Churchill VII,T78,KV-3,Comet,M4A3E8 Sherman,Cromwell,TS-5,KV-2,Rhm.-Borsig Waffenträger,Tiger I,M56 Scorpion,Bofors Tornvagn,Super Hellcat,Tiger I,SU-100Y,KV-2,Cromwell,Cromwell B,FV201 (A45),T-34-85M,KV-3
Victory,AMX 50 Foch B,Carro da Combattimento 45t,M60,Bat.-Châtillon Bourrasque,E 75,T30,Maus,Char Futur 4,Rheinmetall Skorpion G,UDES 14 Alt 5,Cz20_ShPTK_TVP_100_mm,Lorraine 40 t,M40/M43,WZ-114,Caernarvon Action X,IS-3-II,M46 Patton,Bat.-Châtillon Bourrasque,T34,Maus,STB-1,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,SU-14-2,Strv 103-0,STB-1,Rheinmetall Skorpion G,P.44 Pantera,Type 4 Heavy,Jagdpanzer E 100
Victory,Strv S1,ISU-152K,ELC EVEN 90,Cz20_ShPTK_TVP_100_mm,IS-3,CS-52,Tiger II,Bat.-Châtillon Bourrasque,Progetto M35 mod 46,Rheinmetall Skorpion,ELC EVEN 90,KV-5,CS-52,Panther II,Bat.-Châtillon 12 t,122 TM,CS-52,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,GSOR 1008,E 75 TS,IS-3A,Progetto M35 mod 46,Jagdpanther II,ELC EVEN 90,Tiger II,Bat.-Châtillon 12 t,Progetto M35 mod 46,Strv S1,HWK 30
Victory,Object 263,Leopard 1,Concept 1B,Object 780,AMX M4 mle. 51,E 50,E 75,Object 268 Version 4,Super Conqueror,Grille 15,M46 Patton,Object 704,M53/M55,FV4005 Stage II,Object 430,Jagdpanzer E 100,E 100,CS-59,T30,T-54,AMX 30 1er prototype,Concept 1B,T-62A,Object 260,T-10,FV3805,Object 704,Grille 15,Object 268 Version 4,E 75
Victory,ASTRON Rex 105 mm,Tiger I,SU-122-44,ISU-152K,Sherman VC Firefly,Strv S1,B.U.G.I.,T29,Hotchkiss EBR,VK 36.01 (H),M4A3E8 Fury,M6,Cromwell,MT-25,T69,Jagdpanther,Bat.-Châtillon Bourrasque,TS-5,Heavy Tank No. VI,T-34-3,Type 64,Cz20_ShPTK_TVP_100_mm,Hotchkiss EBR,P.43 bis,Churchill VII,Cromwell,Tiger I,M4A3E8 Sherman,Leo,VK 36.01 (H)
Victory,TVP T 50/51,Object 268 Version 4,114 SP2,Panhard EBR 105,IS-7,AMX 13 105,STB-1,STB-1,FV215b,Bat.-Châtillon 155 58,STB-1,E 100,Object 268 Version 4,Jagdpanzer E 100,E 100,TVP T 50/51,FV4005 Stage II,XM551 Sheridan,STB-1,Panhard EBR 105,Kranvagn,Super Conqueror,UDES 15/16,STB-1,Object 261,STB-1,Grille 15,Strv 103B,60TP Lewandowskiego,60TP Lewandowskiego
Defeat,Prototipo Standard B,M103,Conqueror,T29,P.43 ter,Tiger II,Cz20_ShPTK_TVP_100_mm,SU-100M1,Progetto M35 mod 46,T-44-100,KV-5,Jagdpanther,Black Prince,Tiger II,T29,VK 45.02 (P) Ausf. A,Leopard Prototyp A,Progetto M35 mod 46,Sturer Emil,AE Phase I,Challenger,Progetto M35 mod 46,Carro d'assalto P.88,Object 705,T20,Cz20_ShPTK_TVP_100_mm,Škoda T 56,Tiger I,T29,VK 168.01 (P)
Victory,KV-220-2,M10 Wolverine,105 leFH18B2,SU-76G FT,AMX ELC bis,M5A1 Stuart,SARL 42,M10 RBFM,Pz.Kpfw. IV Ausf. H,Matilda,M8A1,B1,Pz.Sfl. IC,14TP,T6 Medium,KV-1,105 leFH18B2,Strv m/42,AMX ELC bis,StuG III Ausf. G,AC 1 Sentinel,Somua SAu 40,BT-7,M5 Stuart,Pz.Kpfw. III Ausf. J,Excelsior,M8A1,Matilda,Valentine AT,Sav m/43
Victory,T-34-85M,KV-1S,Jagdpanzer 38(t) Hetzer,StuG III Ausf. B,Cromwell,T6 Medium,M8A1,T-34,KV-220-2,KV-220-2,Pz.Kpfw. II Luchs,KV-220-2,StuG III Ausf. G,T-28,T-34 L11,Strv 74,SU-76G FT,VK 30.01 (H),Excelsior,Marder 38T,Matilda,Matilda,VK 30.01 (P),T6 Medium,KV-220-2,M10 RBFM,KV-220-2,Pz.Kpfw. II Luchs,T-34-85M,Alecto
Victory,Bat.-Châtillon Bourrasque,STB-1,STB-1,Leopard Prototyp A,TNH 105/1000,Объект 274а,Škoda T 50,Rinoceronte,Rheinmetall Skorpion,STA-1,Caernarvon,Object 430 Version II,T30,VK 45.02 (P) Ausf. B,AMX 13 90,Rheinmetall Skorpion G,E 100,TNH 105/1000,Rheinmetall Skorpion,Object 430,AE Phase I,Char Futur 4,Bisonte C45,T49,Leopard 1,Bat.-Châtillon Bourrasque,STG Guard,CS-59,Object 430U,Leopard Prototyp A
Victory,Manticore,E 75,FV215b (183),Tortoise,M53/M55,Panhard EBR 105,T49,AE Phase I,FV215b (183),Cobra,Object 430U,M103,Škoda T 50,Waffenträger auf Pz. IV,FV4005 Stage II,AMX 50 Foch (155),Concept 1B,STB-1,Object 705,GSOR3301 AVR FS,M53/M55,Grille 15,AMX 50 Foch (155),Panhard EBR 105,Object 704,Waffenträger auf Pz. IV,Kunze Panzer,T-100 LT,Škoda T 50,E 75
Victory,Bat.-Châtillon Bourrasque,Tortoise,IS-3-II,T30,Char Futur 4,212A,ELC EVEN 90,53TP Markowskiego,T-10,T26E4 SuperPershing,Leopard Prototyp A,T-103,Rhm.-Borsig Waffenträger,50TP prototyp,ELC EVEN 90,E 75,Leopard Prototyp A,T30,Škoda T 50,Centurion Mk. 5/1 RAAC,Rheinmetall Skorpion G,ELC EVEN 90,ELC EVEN 90,IS-5 (Object 730),M53/M55,Jagdtiger,Emil II,T28 Prototype,Bat.-Châtillon Bourrasque,Tiger II
Defeat,Rheinmetall Skorpion,Waffenträger auf Pz. IV,Char Futur 4,IS-4,Object 430U,Object 777 Version II,Progetto CC55 mod. 54,E 75,STB-1,WZ-120-1G FT,M54 Renegade,P.44 Pantera,T49,AE Phase I,Cz20_ShPTK_TVP_100_mm,Carro da Combattimento 45t,Progetto C50 mod. 66,Object 907,Cz20_ShPTK_TVP_100_mm,Strv 103-0,SU-130PM,Super Conqueror,ST-I,TS-5,T34,T49,VK 100.01 (P),Kunze Panzer,M103,P.44 Pantera
Victory,Centurion Mk. I,Cz20_ShPTK_TVP_100_mm,Rheinmetall Skorpion G,Progetto M35 mod 46,Tiger II,TS-5,M54 Renegade,Object 252U,FV207,Strv S1,STA-2,ELC EVEN 90,ELC EVEN 90,IS-2-II,E 75 TS,Rhm.-Borsig Waffenträger,Strv S1,T-103,IS-6 B,SU-130PM,M40/M43,Chrysler K,Tiger II,M-III-Y,KV-4,ELC EVEN 90,LT-432,T-54 first prototype,T-44,Object 416
Victory,Waffenträger auf Pz. IV,E 100,Object 263,IS-7,UDES 16,M53/M55,Kunze Panzer,Object 261,Char Futur 4,XM551 Sheridan,M103,FV215b (183),FV217 Badger,Tortoise,Tortoise,114 SP2,E 100,AMX 50 Foch (155),Type 61,Jagdtiger,Object 263,M53/M55,T-10,Conqueror Gun Carriage,Strv 103-0,T110E5,AMX 13 105,Char Futur 4,Kunze Panzer,К-91-ПТ
Victory,Lansen C,TVP T 50/51,CS-63,Škoda T 56,AMX 50 Foch (155),Rheinmetall Skorpion,К-91-ПТ,T110E4,Strv 103-0,Rheinmetall Skorpion G,Bat.-Châtillon Bourrasque,E 75,T26E5 Patriot,Somua SM,O-Ho,TVP T 50/51,Grille 15,M54 Renegade,Object 704,Jagdpanzer E 100,AT 15,Type 61,Bat.-Châtillon Bourrasque,SU-130PM,Rheinmetall Skorpion G,Caernarvon Action X,VK 100.01 (P),121B,Object 703 II,AE Phase I
Victory,Lansen C,Caliban,SU-130PM,Emil II,212A,FV4004 Conway,Tortoise,Strv S1,TNH T Vz. 51,Object 416,Char Futur 4,TL-1 LPC,Lorraine 40 t,TNH T Vz. 51,ELC EVEN 90,Progetto C50 mod. 66,Strv 103-0,WZ-114,Char Futur 4,SU-130PM,FV3805,Cz20_ShPTK_TVP_100_mm,LT-432,STA-1,AE Phase I,TNH T Vz. 51,CS-52,Strv 81,122 TM,Ferdinand
Victory,T-10,AMX 50 Foch (155),Progetto CC55 mod. 54,Emil I,Cz20_ShPTK_TVP_100_mm,Leopard Prototyp A,Conqueror,G.W. Tiger (P),T110E5,Progetto C50 mod. 66,Centurion Mk. 7/1,Object 705,TVP T 50/51,LT-432,T26E5 Patriot,Kunze Panzer,Object 257,AMX AC mle. 48,Kranvagn,AE Phase I,TVP T 50/51,G.W. Tiger (P),Somua SM,50TP Tyszkiewicza,AMX 50 Foch (155),WZ-120,ELC EVEN 90,Progetto C50 mod. 66,Caernarvon Action X,IS-3
Victory,Leopard Prototyp A,Super Conqueror,Leopard 1,Strv 103B,Manticore,E 100,Bat.-Châtillon 155 58,WZ-111G FT,AE Phase I,Char Futur 4,T49,Mäuschen,Super Conqueror,Object 257,G.W. Tiger,Concept 1B,Object 261,Object 277,Kunze Panzer,Object 277,Leopard Prototyp A,T30,E 75,T49,FV3805,TVP T 50/51,T-100 LT,Object 277,AMX M4 mle. 51,FV4005 Stage II
Victory,T29,Cz20_ShPTK_TVP_100_mm,CS-44,AT 15A,Škoda T 25,Ferdinand,AMX 12 t,Škoda T 25,M4A1 Revalorisé,Progetto M35 mod 46,T37,VK 36.01 (H),Pudel,KV-2,KV-2,SU-130PM,ISU-152,Progetto M35 mod 46,T25/2,Object 416,T-34-85M,IS,Pz.Kpfw. IV Schmalturm,Tiger (P),M24E2 Super Chaffee,M6,Škoda T 25,T-50-2,Pz.Kpfw. IV Schmalturm,KV-2
Victory,Cromwell B,M-II-Y,AMX 13 57,KV-1S,45TP Habicha,G.W. Panther,E 25,Progetto M35 mod 46,G.W. Tiger (P),Cromwell,Škoda T 27,KV-1S,M4A3E8 Thunderbolt VII,Ikv 65 Alt II,Sturer Emil,CS-52,Bat.-Châtillon Bourrasque,M12,M40/M43,M-II-Y,M56 Scorpion,IS,КВ-2 (Р),B.U.G.I.,VK 30.01 (P),T25 AT,Nashorn,T-34-85,GSR 3301 Setter,KV-2
Victory,ELC EVEN 90,Vz. 55,E 100,T110E4,T-62A,Škoda T 50,AE Phase I,Progetto M35 mod 46,50TP prototyp,Schwarzpanzer 58,T26E5 Patriot,Waffenträger auf Pz. IV,Object 430,STA-1,53TP Markowskiego,Concept 1B,TNH T Vz. 51,IS-2-II,T110E3,STA-1,Tortoise,Progetto M35 mod 46,Chrysler K,Object 430U,T92,Char Futur 4,FV215b,Lansen C,Type 5 Heavy,Bat.-Châtillon Bourrasque
Defeat,Object 703 II,Progetto CC55 mod. 54,50TP prototyp,AltProto AMX 30,Progetto M35 mod 46,VK 75.01 (K),SU-130PM,CS-52,TS-5,Rhm.-Borsig Waffenträger,leKpz M 41 90 mm,LHMTV,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,IS-M,Cz20_ShPTK_TVP_100_mm,Rhm.-Borsig Waffenträger,Cz20_ShPTK_TVP_100_mm,IS-3,122 TM,leKpz M 41 90 mm GF,Progetto M35 mod 46,Chrysler K,P.44 Pantera,Rheinmetall Skorpion,UDES 14 Alt 5,T92,E 75 TS,Tiger II,KV-4
Defeat,Объект 274а,LT-432,Löwe,Progetto CC55 mod. 54,53TP Markowskiego,T-103,Caernarvon,Strv S1,M-III-Y,T34,Charioteer,Cz20_ShPTK_TVP_100_mm,Progetto M35 mod 46,HWK 12,T-44,Cz20_ShPTK_TVP_100_mm,LT-432,Škoda T 56,AMX Canon d'assaut 105,Tiger II,Cz20_ShPTK_TVP_100_mm,T26E4 SuperPershing,M-III-Y,STA-2,Progetto M35 mod 46,VK 100.01 (P),Löwe,AMX M4 mle. 49 Liberté,Rheinmetall Skorpion G,Bat.-Châtillon 12 t
Victory,UDES 15/16,Kranvagn,T-44-100,Progetto C50 mod. 66,Waffenträger auf Pz. IV,AMBT,T-103,Bat.-Châtillon 25 t,WZ-114,Spähpanzer Ru 251,ELC EVEN 90,Type 61,E 75,Rheinmetall Skorpion,Rhm.-Borsig Waffenträger,Object 260,Centurion Action X,Char Futur 4,Cz20_ShPTK_TVP_100_mm,Emil II,Emil I,Cz20_ShPTK_TVP_100_mm,121,E 75,Cz20_ShPTK_TVP_100_mm,Object 430,T92,T95,Spähpanzer Ru 251,STA-1
Victory,Tiger I,B.U.G.I.,G.W. Panther,M-II-Y,T67,M6,AT 7,M41 HMC,Ram II,T-34,Pz.Kpfw. T 25,M36 Jackson,T-150,Pz.Kpfw. IV Ausf. H,Pz.Kpfw. IV Ausf. H,M18 Hellcat,SU-100M1,T-150,IS-2,Pawlack Tank,Type 4 Chi-To,G.W. Panther,S35 CA,Tiger (P),VK 30.01 (H),Grille,Pz.Kpfw. IV Ausf. H,T-34,Pz.Kpfw. IV Ausf. H,Pz.Kpfw. IV Ausf. H
Victory,Pz.Kpfw. V/IV,25TP KSUST II,Churchill III,M10 RBFM,KV-1,M10 Wolverine,VK 30.01 (H),Grille,AMX ELC bis,T67,Covenanter,25TP KSUST II,StuG III Ausf. G,AMX ELC bis,P.43,KV-1,M10 RBFM,M24 Chaffee,Type 3 Chi-Nu,Pz.Kpfw. V/IV,VK 30.01 (H),AMX 13 105 AM mle. 50,StuG IV,StuG III Ausf. G,VK 16.02 Leopard,StuG III Ausf. G,T1 Heavy Tank,VK 30.01 (H),AMX ELC bis,Type 3 Chi-Nu Kai
Victory,AMX M4 mle. 45,SU-122-44,T-150,T29,Škoda T 25,T-34-85,Super Hellcat,Cromwell B,G.W. Panther,AT 8,KV-2,AT 8,M4A3E8 Sherman,O-I,M24E2 Super Chaffee,T25 AT,Lorraine 155 mle. 50,AMX AC mle. 46,VK 36.01 (H),M36 Jackson,T-34-85M,T-43,T-34-85,M24E2 Super Chaffee,Churchill VII,Type 58,Type 4 Chi-To,M36 Jackson,O-I,Tiger (P)
Victory,FV1066 Senlac,Rheinmetall Skorpion G,Tiger II,Bofors Tornvagn,Leo,Bisonte C45,T29,Tiger I,KV-3,AMX 13 75,IS,Tiger II,T-103,T25/2,Krupp-Steyr Waffenträger,VK 45.02 (P) Ausf. A,Škoda T 56,Rheinmetall Skorpion,Kanonenjagdpanzer 105,Tiger II,SU-122-44,O-Ni,WZ-132,Type 62,Somua SM,Super Hellcat,T20,M-II-Y,VK 45.03,IS
Victory,ASTRON Rex 105 mm,Object 703 II,STA-1,Strv S1,M-II-Y,TS-5,Jagdpanther,Carro d'assalto P.88,Panther,AT 7,IS-2,T71 CMCD,Tiger (P),Type 5 Chi-Ri,45TP Habicha,T25/2,IS-6 B,T29,KV-3,E 25,Carro d'assalto P.88,Škoda T 27,ISU-152,Panther,P.43 ter,T-44,O-Ni,AMX Canon d'assaut 105,Tiger I,AMX 13 75
Victory,VK 36.01 (H),M36 Jackson,Jagdpanther,SU-100Y,T37,M44,Pz.Kpfw. IV Schmalturm,Tiger I,SU-8,Vz. 44-1,T71 CMCD,SU-152,T-34-85M,M4A3E2 Sherman Jumbo,T-34-85M,VK 36.01 (H),FV304,Vz. 44-1,Jagdpanther,AMX 13 57,T25 AT,Crusader,SU-100Y,Leo,M44,M4A3E8 Sherman,T-34-85,O-I,T-34-85M,SU-100
Defeat,Nashorn,Pawlack Tank,P.43 bis,Pawlack Tank,AT 8,Panhard AMD 178B,Type 64,VK 36.01 (H),Strv 74,A-43,M24E2 Super Chaffee,VK 30.02 (M),Jagdpanzer IV,Type 64,KV-1S,M18 Hellcat,T-50-2,M36 Jackson,T-34-85M,40TP Habicha,KV-1S,SU-100Y,Type 64,Type 4 Chi-To,P.43 bis,M6,KV-1S,AMX 12 t,Panhard AMD 178B,VK 30.01 (P)
Victory,M10 RBFM,T-34-85M,SU-8,VK 16.02 Leopard,M10 RBFM,StuG III Ausf. B,105 leFH18B2,M24E2 Super Chaffee,M5A1 Stuart,T-28,14TP,M4A3E8 Thunderbolt VII,Somua SAu 40,StuG III Ausf. B,Valentine AT,M8A1,AMX 12 t,Škoda T 25,M44,Lago,Strv 74,M41 HMC,SU-85,StuG III Ausf. G,Lago,StuG III Ausf. B,AMX ELC bis,Pz.Kpfw. III Ausf. J,Marder 38T,T-34 L11
Victory,Lorraine 155 mle. 50,T 55A,Tortoise,Object 252U,Rheinmetall Skorpion G,Lorraine 50 t,Cz20_ShPTK_TVP_100_mm,Emil I,Panther,Super Hellcat,T-34-3,AMX AC mle. 46,P.43 ter,Tiger I,Škoda T 56,Strv S1,Progetto M35 mod 46,Rheinmetall Skorpion G,Object 704,Prototipo Standard B,Emil I,Tiger II,45TP Habicha,Object 257,IS-M,Panther,Super Hellcat,Konštrukta T-34/100,Super Hellcat,M12
Victory,Super Conqueror,AE Phase I,Leopard 1,Kranvagn,Object 430,AMX 50 Foch,Chrysler K,E 50,Lorraine 40 t,Škoda T 56,Jagdtiger,Jagdtiger,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon Bourrasque,Rheinmetall Skorpion G,Leopard Prototyp A,Char Futur 4,Bat.-Châtillon Bourrasque,TNH 105/1000,SU-130PM,Object 277,Emil I,AMX Canon d'assaut 105,Waffenträger auf Pz. IV,M103,Leopard Prototyp A,E 100,Object 430U,Rheinmetall Skorpion G,К-91-ПТ
Victory,WZ-120-1G FT,Jagdpanzer E 100,FV207,Object 268 Version 4,E 100,Progetto M35 mod 46,Grille 15,ELC EVEN 90,Progetto M35 mod 46,Löwe,M53/M55,E 75,Kampfpanzer 07 RH,TNH T Vz. 51,M54 Renegade,Object 268 Version 4,E 75,Object 277,Progetto M35 mod 46,Bofors Tornvagn,SU-14-2,Lansen C,212A,AMX Canon d'assaut 105,Indien-Panzer,Strv 103B,M-VI-Y,ELC EVEN 90,Caernarvon,Jagdpanzer E 100
Victory,Type 64,T-34-85M,105 leFH18B2,Grille,M24E2 Super Chaffee,VK 30.02 (M),S35 CA,M44,VK 30.01 (H),M36 Jackson,M10 RBFM,Dicker Max,M10 RBFM,StuG III Ausf. G,Churchill III,M44,SU-100,M36 Jackson,105 leFH18B2,M10 RBFM,VK 36.01 (H),M41 HMC,Matilda Black Prince,Crusader,T-50-2,Škoda T 25,M10 Wolverine,M10 RBFM,S35 CA,KV-1
Victory,IS-M,T34,E 75 TS,Charioteer,Progetto CC55 mod. 54,Strv S1,Cz20_ShPTK_TVP_100_mm,T28 Prototype,Bat.-Châtillon Bourrasque,ELC EVEN 90,LT-432,Emil I,WZ-111 Alpine Tiger,Tiger II,Cz20_ShPTK_TVP_100_mm,Cz20_ShPTK_TVP_100_mm,Caernarvon,Škoda T 56,Cz20_ShPTK_TVP_100_mm,T-54 first prototype,GSOR 1008,T-44,Progetto CC55 mod. 54,HWK 30,Cz20_ShPTK_TVP_100_mm,KV-4 Kreslavskiy,SU-130PM,Somua SM,ELC EVEN 90,EMIL 1951
Victory,Оbject 279,Object 140,E 100,E 50,Leopard 1,Progetto M35 mod 46,TNH T Vz. 51,Indien-Panzer,TS-5,Škoda T 50,Indien-Panzer,Tortoise,IS-3,Rhm.-Borsig Waffenträger,Strv S1,E 100,Kunze Panzer,Leopard 1,Rhm.-Borsig Waffenträger,Jagdtiger,Type 4 Heavy,Lansen C,Rheinmetall Skorpion G,Progetto M35 mod 46,GSOR 1008,Bat.-Châtillon Bourrasque,SU-130PM,Super Conqueror,Progetto C50 mod. 66,AMX 30 B
Victory,Bat.-Châtillon Bourrasque,Škoda T 56,Cz20_ShPTK_TVP_100_mm,Object 703 II,KV-2,Strv 74,G.W. Panther,CS-44,Super Hellcat,Strv m/42-57 Alt A.2,T-34-1,O-I,Pawlack Tank,45TP Habicha,Dicker Max,Udarniy,Udarniy,E 25,IS,Cz20_ShPTK_TVP_100_mm,KV-2,Vz. 44-1,Progetto M35 mod 46,Škoda T 25,Lorraine 155 mle. 50,VK 36.01 (H),T78,Strv 74,Konštrukta T-34/100,Pz.Kpfw. IV Schmalturm
Victory,Caernarvon,T-34-3,Cz20_ShPTK_TVP_100_mm,Bisonte C45,T-103,Bat.-Châtillon Bourrasque,T28 Prototype,Rheinmetall Skorpion,TNH 105/1000,HWK 30,Cz20_ShPTK_TVP_100_mm,FV4202,T-44,LT-432,Rheinmetall Skorpion,STA-2,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,SU-130PM,Progetto M35 mod 46,Chrysler K GF,ISU-152,LT-432,Progetto CC55 mod. 54,T28 Prototype,WZ-111-1G FT,Cz20_ShPTK_TVP_100_mm,Bat.-Châtillon 12 t,Rheinmetall Skorpion,IS-3
Victory,T28,P.44 Pantera,Bisonte C45,Emil I,Progetto M35 mod 46,UDES 03,Rhm.-Borsig Waffenträger,M41 Walker Bulldog,IS-6 B,T26E4 SuperPershing,M26 Pershing,LT-432,Löwe,Škoda T 56,Rhm.-Borsig Waffenträger,M41 Walker Bulldog,GSOR 1008,Progetto CC55 mod. 54,IS-3A,Emil I,CS-52,Rhm.-Borsig Waffenträger,Tiger II,Cz20_ShPTK_TVP_100_mm,ELC EVEN 90,UDES 03,Bat.-Châtillon Bourrasque,Type 59,Škoda T 56,STG Guard
Victory,Rheinmetall Skorpion G,Cz20_ShPTK_TVP_100_mm,Object 257,Strv 103-0,Object 430,Kunze Panzer,SU-130PM,Bat.-Châtillon Bourrasque,ELC EVEN 90,Mäuschen,IS-6,Kunze Panzer,CS-53,Progetto M35 mod 46,CS-52,IS-3-II,WZ-111 model 1-4,Emil II,STG Guard,Cobra,Char Futur 4,Bat.-Châtillon Bourrasque,Cz20_ShPTK_TVP_100_mm,ELC EVEN 90,T30,Object 416,Rheinmetall Skorpion,Centurion Mk. I,E 75 TS,Rheinmetall Skorpion G
Victory,T-44-100,Bat.-Châtillon Bourrasque,T26E4 SuperPershing,Excalibur,T-34-85,VK 30.01 (P),T20,Strv S1,T29,Hotchkiss EBR,M6,P.43 bis,KV-2,T-50-2,M12,Tiger I,Cz20_ShPTK_TVP_100_mm,Škoda T 27,Centurion Mk. 5/1 RAAC,G.W. Panther,Indien-Panzer,Bretagne Panther,AMX 12 t,VK 30.01 (P),Jagdpanther,M4A3E8 Sherman,Hotchkiss EBR,Tiger 131,T-34-85M,KV-2
Defeat,K-91,Vz. 55,IS-7,FV4005 Stage II,Object 140,E 100,Bat.-Châtillon 25 t,STB-1,Leopard 1,FV4005 Stage II,T110E4,Object 268 Version 4,STB-1,T-100 LT,Оbject 279,T95/FV4201 Chieftain,Jagdpanzer E 100,AMX 50 Foch (155),Centurion Action X,FV4005 Stage II,Bat.-Châtillon 25 t,Vz. 55,Leopard 1,STB-1,Object 268 Version 4,CS-63,T-100 LT,TVP T 50/51,E 100,E 100
Victory,Object 430U,Grille 15,STB-1,Progetto M40 mod. 65,AMX 50 B,113,AMX 50 Foch (155),Object 261,Object 430U,Object 268,AMX M4 mle. 54,Object 140,Kranvagn,Object 277,E 100,E 100,E 100,Kranvagn,STB-1,Object 780,Object 430U,Object 140,Object 261,Vz. 55,UDES 15/16,Grille 15,FV217 Badger,Leopard 1,Kranvagn,Centurion Action X
Victory,Type 4 Chi-To,Pawlack Tank,AMX ELC bis,KV-220-2,M4A3E8 Sherman,Pz.Kpfw. IV Ausf. H,Pz.Kpfw. II Luchs,Jagdpanzer 38(t) Hetzer,VK 30.01 (H),Marder 38T,Matilda,Somua SAu 40,Pz.Kpfw. III Ausf. J,14TP,AMX 13 105 AM mle. 50,KV-220-2,KV-2,Grille,VK 20.01 (D),M24 Chaffee,Pz.Kpfw. II Luchs,VK 30.01 (H),Jagdpanzer 38(t) Hetzer,M8A1,T-34-85,M5 Stuart,StuG III Ausf. B,P.43,Type 58,Matilda LVT
Defeat,Strv m/42-57 Alt A.2,Strv m/42-57 Alt A.2,VK 36.01 (H),Excalibur,M24E2 Super Chaffee,Heavy Tank No. VI,MT-25,SU-8,KV-85,T37,AMX 12 t,O-I,FV304,O-I,M44,VK 36.01 (H),Tiger 131,T-150,KV-85,AT 8,T-50-2,Bretagne Panther,Crusader,M44,M24E2 Super Chaffee,AMX 12 t,T-150,FV304,M44,Bretagne Panther
Victory,Leopard Prototyp A,Char Futur 4,STB-1,Rheinmetall Skorpion G,Conqueror Gun Carriage,Bat.-Châtillon Bourrasque,SU-130PM,T-103,AE Phase I,E 100,AMX M4 mle. 49,T95,M41 Walker Bulldog,TL-1 LPC,T-54 ltwt.,E 75,Rhm.-Borsig Waffenträger,E 75,TS-5,Cz20_ShPTK_TVP_100_mm,Char Futur 4,E 100,STB-1,Charioteer,IS-3,T30,Progetto M35 mod 46,Bat.-Châtillon 155 58,Spähpanzer Ru 251,ELC EVEN 90
Victory,Super Conqueror,WZ-120,Progetto M40 mod. 65,AE Phase I,Škoda T 50,Rhm.-Borsig Waffenträger,Kampfpanzer 50 t,AMX 50 Foch (155),KV-4,Tiger II,M40/M43,Cz20_ShPTK_TVP_100_mm,Char Futur 4,Waffenträger auf Pz. IV,AMX M4 mle. 49 Liberté,T95/FV4201 Chieftain,FV215b (183),Progetto M40 mod. 65,Rheinmetall Skorpion G,Char Futur 4,E 75,Rhm.-Borsig Waffenträger,Waffenträger auf Pz. IV,M40/M43,Škoda T 56,Prototipo Standard B,Type 61,CS-59,Caernarvon,KV-4
Victory,Manticore,114 SP2,Super Conqueror,FV4005 Stage II,STB-1,114 SP2,Leopard 1,FV215b,121B,FV4005 Stage II,IS-4,T57 Heavy Tank,Object 430U,Vz. 55,Leopard 1,Vz. 55,UDES 15/16,FV4005 Stage II,M60,Strv 103B,Object 430U,Strv 103B,Leopard 1,T57 Heavy Tank,FV215b,Leopard 1,STB-1,T110E4,WZ-132-1,ST-II
